period,actual,hw,pred_bestB,occ_pred,abs_error,signed_error,occupancy_bucket
2026-02,2720625,2560598,2529119,169,191506,191506,low(<85%)
2026-03,2774058,2811506,2787932,168,13874,-13874,mid(85-95%)
2026-04,2890610,2837007,2943124,168,52514,-52514,mid(85-95%)
2026-05,3153828,2921163,2882700,167,271128,271128,mid(85-95%)
2026-06,3300730,3232643,2996388,170,304342,304342,high(>95%)
2026-07,3337114,3200314,3132662,169,204452,204452,high(>95%)
2026-08,3159088,3518125,3075205,173,83883,83883,mid(85-95%)
