id,organization_id,name,specifications,default_unit_cost,active,created_at,updated_at,item_name,item_code,unit,default_cost,minimum_stock_level,is_active,asset_type_id,issue_type_id
6f565b04-f730-448b-8e6a-1016d468c8ec,00000000-0000-0000-0000-000000000001,Laminate Sheet (Replacement),Replacement,800,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Laminate Sheet (Replacement),null,pcs,800,1,true,b1000000-0000-0000-0000-000000000011,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
3a022402-d6e3-400c-9a84-3f3fdd60e5a7,00000000-0000-0000-0000-000000000001,Cushion Foam,Standard,1200,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Cushion Foam,null,pcs,1200,1,true,b1000000-0000-0000-0000-000000000012,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
dd2ebf08-cc87-4031-8ecc-80fb04f0e5e8,00000000-0000-0000-0000-000000000001,Upholstery Fabric (Per Seat),Per Seat,1500,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Upholstery Fabric (Per Seat),null,pcs,1500,1,true,b1000000-0000-0000-0000-000000000012,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
4777ef9f-ee12-4754-b3dc-4ca9d76b518f,00000000-0000-0000-0000-000000000001,Table Top Laminate,Standard,1200,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Table Top Laminate,null,pcs,1200,1,true,b1000000-0000-0000-0000-000000000013,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
565d9154-8d7d-41b8-899a-ee035770c247,00000000-0000-0000-0000-000000000001,Chair Pads (Set),Set,800,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Chair Pads (Set),null,pcs,800,1,true,b1000000-0000-0000-0000-000000000013,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
ad7c6eb2-7295-4a6b-a45b-018cb026d652,00000000-0000-0000-0000-000000000001,Glass Top (Tempered),Tempered,1000,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Glass Top (Tempered),null,pcs,1000,1,true,b1000000-0000-0000-0000-000000000014,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
d17a41c2-8109-4d3f-9999-2187c4140349,00000000-0000-0000-0000-000000000001,Drawer Lock,Standard,250,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Drawer Lock,null,pcs,250,1,true,b1000000-0000-0000-0000-000000000015,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
069cbbc8-a146-487a-92b5-e21ba4459327,00000000-0000-0000-0000-000000000001,Curtain Fabric (Per Set),Per Set,1200,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:45:49.229608+00,Curtain Fabric (Per Set),null,pcs,1200,1,true,b1000000-0000-0000-0000-000000000018,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
655e09f7-54bd-4ff9-8159-f6fe80982a75,00000000-0000-0000-0000-000000000001,Curtain Rod,Standard,500,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:46:00.672725+00,Curtain Rod,null,pcs,500,1,true,b1000000-0000-0000-0000-000000000018,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
f3acf83d-be75-41e1-b244-2d4d57fa96be,00000000-0000-0000-0000-000000000001,Pillow Cover (Standard Cotton),Standard Cotton,200,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:46:42.554638+00,Pillow Cover (Standard Cotton),null,pcs,200,1,true,b1000000-0000-0000-0000-000000000016,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
