organization_id,property_id,month,account_code,account_name,expense
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-04-01,5240,Maintenance - Appliances,19150.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-09-01,5100,Owner Rent Expense,233000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-03-01,5240,Maintenance - Appliances,5920.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-01-01,5630,Bank Charges & CC Fees,-190.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-10-01,5260,Maintenance - HVAC,13570.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-08-01,5800,Marketing & Tenant Acquisition,5126.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-03-01,5260,Maintenance - HVAC,24850.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-01-01,5260,Maintenance - HVAC,5650.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-07-01,5100,Owner Rent Expense,233000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-06-01,5260,Maintenance - HVAC,7500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5630,Bank Charges & CC Fees,60.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-12-01,5100,Owner Rent Expense,697725.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-04-01,5260,Maintenance - HVAC,11500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-07-01,5630,Bank Charges & CC Fees,619.52
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-05-01,5630,Bank Charges & CC Fees,-246.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2022-11-01,5100,Owner Rent Expense,61000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-11-01,5240,Maintenance - Appliances,6000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-01-01,5100,Owner Rent Expense,474500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-06-01,5100,Owner Rent Expense,303000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-12-01,5260,Maintenance - HVAC,6500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5240,Maintenance - Appliances,230.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-09-01,5240,Maintenance - Appliances,10283.00
00000000-0000-0000-0000-000000000001,null,2026-03-01,5900,Other Expenses,2420.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5100,Owner Rent Expense,478000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5240,Maintenance - Appliances,380.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-10-01,5290,Maintenance - Other,70.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-04-01,5800,Marketing & Tenant Acquisition,4000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-10-01,5800,Marketing & Tenant Acquisition,500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-05-01,5100,Owner Rent Expense,478000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5630,Bank Charges & CC Fees,-54.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5290,Maintenance - Other,3700.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-07-01,5150,Electricity Payments,540457.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-07-01,5100,Owner Rent Expense,303000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-02-01,5260,Maintenance - HVAC,13770.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-08-01,5260,Maintenance - HVAC,42700.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5220,Maintenance - Electrical,1590.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-11-01,5100,Owner Rent Expense,697725.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-02-01,5630,Bank Charges & CC Fees,-102.54
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-09-01,5260,Maintenance - HVAC,2000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-07-01,5230,Maintenance - Carpentry,50.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-03-01,5100,Owner Rent Expense,303000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-08-01,5800,Marketing & Tenant Acquisition,1000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5800,Marketing & Tenant Acquisition,4000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-12-01,5630,Bank Charges & CC Fees,278.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-07-01,5290,Maintenance - Other,6188.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-02-01,5260,Maintenance - HVAC,33300.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-02-01,5100,Owner Rent Expense,474500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-10-01,5100,Owner Rent Expense,691000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-08-01,5260,Maintenance - HVAC,23250.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-09-01,5100,Owner Rent Expense,336000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5100,Owner Rent Expense,478000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-05-01,5260,Maintenance - HVAC,75230.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-05-01,5100,Owner Rent Expense,697725.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-03-01,5100,Owner Rent Expense,129000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-01-01,5100,Owner Rent Expense,129000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-04-01,5630,Bank Charges & CC Fees,-530.45
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-12-01,5800,Marketing & Tenant Acquisition,-27.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-01-01,5800,Marketing & Tenant Acquisition,1000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-04-01,5290,Maintenance - Other,2590.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-10-01,5100,Owner Rent Expense,233000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-10-01,5290,Maintenance - Other,750.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2022-12-01,5100,Owner Rent Expense,129000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-05-01,5100,Owner Rent Expense,233000.00
