apartment_id,readings,invalid,high,low,avg_units,anomalies,anomaly_rate
dd96a329-ec95-e96a-1348-69d976f39cd4,39,1,4,1,878.6539473684212,6,0.154
85292340-826d-52c1-65c7-7f2a9eb2c2c4,39,0,3,1,943.0282051282051,4,0.103
aa73cade-c28c-dc5b-5980-55801ea0d415,39,0,3,1,781.451282051282,4,0.103
b0875d50-a469-821b-57c3-03ac62809198,39,0,3,1,609.1307692307693,4,0.103
03edc7c5-4c46-b55e-523d-9fb7be29910b,39,0,3,0,918.5205128205129,3,0.077
dc4adc21-f501-0573-2e9a-d7bbbc89e5d6,39,0,3,0,683.4617948717948,3,0.077
7719849e-1d17-27d2-31d4-475a4e71f261,34,18,2,0,497.00374999999997,20,0.588
c2ff0c11-4d1b-7b9b-b93c-aa37c9b6c40b,39,4,2,2,565.3025714285716,8,0.205
c17c5093-48b7-139f-ebfc-1cd33ef5179c,39,3,2,1,563.7666666666667,6,0.154
574de174-c7bb-bc11-f282-cff2aa2501c5,39,2,2,1,430.5405405405405,5,0.128
82b270bf-e567-2deb-5ef3-495baafd7645,39,1,2,2,417.3657894736843,5,0.128
990e8a3e-a69c-7b31-f606-3eeb21e3d4c6,39,1,2,2,437.52368421052637,5,0.128
233cca0e-efcf-e631-d2fc-9997a6ba5706,39,0,2,3,720.3128205128206,5,0.128
2fc42a4f-fe5a-ae08-0e4e-2c89ca71db85,39,0,2,3,767.046153846154,5,0.128
10c6863d-07c3-4fc4-94f9-6adc29157ce1,39,0,2,2,632.3794871794871,4,0.103
49ed1c8e-3653-c89b-ec74-16d8e20bb923,39,0,2,1,648.5153846153846,3,0.077
5d204545-2f72-b89b-3190-a826b5ab6512,39,0,2,0,663.4333333333333,2,0.051
d2298bb8-a5e5-735a-c8ca-9b18c7daacd6,37,0,2,0,640.1972972972974,2,0.054
4d1dd99b-b75a-70b5-406b-f5e869954002,32,24,1,0,492.4875,25,0.781
1183b300-b9ae-5e28-acb2-304cb2fd36db,22,15,1,0,1601.3428571428574,16,0.727
bde00681-ebfc-ef38-4f6e-4906a012de6b,39,0,1,3,848.6820512820512,4,0.103
77c3a6fd-4651-d880-29aa-abd19c8324df,39,0,1,2,643.1461538461539,3,0.077
a361bd0d-c2c1-2aee-6303-d65de004edd0,39,0,1,2,701.8564102564104,3,0.077
ffbd5fe0-d9b3-cb55-cfd7-2d72a3498109,39,0,1,2,755.8589743589743,3,0.077
323c0dff-be56-f6ee-f053-ee37de806dea,39,0,1,1,780.6358974358974,2,0.051
417c9738-a0f7-5a00-1091-37a9fd083dd6,39,0,1,1,697.3923076923076,2,0.051
b0d4d2c8-f6ee-bc16-ffd7-fc33c8db8571,39,0,1,1,765.725641025641,2,0.051
bc7f358d-0d6d-f95f-ff80-9089eefdef69,39,0,1,1,916.0333333333332,2,0.051
211a2b33-4e94-3da1-7d97-406bc26036f5,39,26,0,0,408.31538461538463,26,0.667
188aee4d-68e0-1ddb-38e6-a946bc75072d,39,25,0,0,377.20714285714286,25,0.641
44625074-3f26-4a2d-74ae-56ba4c94a395,34,14,0,0,459.1115000000001,14,0.412
1b4d1066-8fe4-199b-7b3b-39e4bded9714,39,8,0,0,918.5129032258066,8,0.205
8767525e-d22f-a295-bc29-ba104fdc589a,25,3,0,0,286.6181818181819,3,0.12
79853a4a-cb02-508c-e041-7e23378aec9c,27,2,0,0,1095.864,2,0.074
86ad1ceb-8d81-a926-d998-3a2f1cafba06,27,2,0,0,620.7280000000001,2,0.074
fb5cedd6-2992-1c62-7fba-4a7a6b43b2ff,39,0,0,3,840.125641025641,3,0.077
9d5d0096-0b78-a663-1142-be871dfa2bda,39,0,0,2,936.8076923076923,2,0.051
0a839c14-2a88-9896-c2f2-8d51fe610405,39,0,0,1,656.1051282051284,1,0.026
fad74a92-8e64-787e-38c3-8ebdb9db6511,3,0,0,0,159.0666666666667,0,0.0
