property_name,universe_version,operator_source_type,property_type,gender,locality,locality_group,distance_km,distance_precision,source_evidence_type,source_platform,source_url,price_status,verification_status,provenance
Prema's Ladies P G,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Premas-Ladies-P-G-Near-Valmiki-Nagar-Thiruvalluvar-Nagar-Thiruvanmiyur/044PXX44-XX44-230819062701-U9C9_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Mpr Womens Pg,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Mpr-Womens-Pg-Near-By-Amma-Unavagam-Thiruvanmiyur/044PXX44-XX44-220829115036-J4K4_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Homely Women's Pg,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Homely-WomenS-Pg-Thiruvanmiyur/044PXX44-XX44-250404220759-J7A7_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Subham Women's & Men's Hostel,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Subham-Womens-Mens-Hostel-Near-Sankara-School-Kamaraj-Nagar-Thiruvanmiyur/044PXX44-XX44-181225224606-Y9F1_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Divya Sri PG Ladies & Gents Hostel,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/divya-sri-pg-ladies-gents-hostel-thiruvanmiyur-chennai-contact-address,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Bliss Women's Hostel,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/bliss-women-s-hostel-thiruvanmiyur-chennai-contact-address,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Sa Guest Inn,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Sulekha / gopgo / 99acres,https://www.sulekha.com/pg/thiruvanmiyur-chennai,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Ivalin Kudil Ladies PG Hostel,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Own website (Vercel),https://ivalinkudilsite.vercel.app/,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
SSM Working Womens Hostel,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,gopgo (PGO),https://www.gopgo.in/chennai/thiruvanmiyur/hostel/1290-ssm-working-womens-hostel/pgo-properties,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Nakshatra Stay Ladies P.G,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,gopgo (PGO),https://www.gopgo.in/chennai/thiruanmiyur/pg/8249-nakshatra-stay-ladies-p-g/pgo-properties,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Staylogy Thyme,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Staylogy (operator website),https://staylogy.co.in/property/thyme/,SHARING_SPECIFIC,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Twilight Enterprises (Twilight PG Accommodation),v2,independent,pg,unknown,"Indira Nagar, Adyar, Chennai 600020","Adyar, Chennai",2.09,coarse_suburb_centroid_adyar(Nominatim),third_party_platform_listing,Sulekha; Justdial,https://www.sulekha.com/pg-for-mens/adyar-chennai,UNKNOWN,v2_verified_identity,platform listing sweep (adyar); identity confirmed name+locality
Mother Teresa Ladies Hostel,v2,independent,pg,unknown,"Adyar, Chennai 600020","Adyar, Chennai",2.09,coarse_suburb_centroid_adyar(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/mother-teresa-ladies-hostel-adyar-chennai-contact-address,RANGE,v2_verified_identity,platform listing sweep (adyar); identity confirmed name+locality
Kongu Paying Guest,v2,independent,pg,unknown,"Indira Nagar, Adyar, Chennai","Adyar, Chennai",2.09,coarse_suburb_centroid_adyar(Nominatim),third_party_platform_listing,Hexahome; PGchoice,https://www.hexahome.in/kongu-paying-guest-pg-in-adyar-chennai-id-26W7V2/,STARTING_FROM,v2_verified_identity,platform listing sweep (adyar); identity confirmed name+locality
UGAN PG Hostel,v2,independent,pg,unknown,"Adyar, Chennai","Adyar, Chennai",2.09,coarse_suburb_centroid_adyar(Nominatim),third_party_platform_listing,Hexahome,https://www.hexahome.in/ugan-pg-hostel-in-adyar-chennai-id-5FMRLY/,STARTING_FROM,v2_verified_identity,platform listing sweep (adyar); identity confirmed name+locality
RMJ Ladies PG (Executive Hostel),v2,independent,pg,unknown,"Perungudi (Seevaram), Chennai 600096","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Rmj-Ladies-Pg-Executive-Hostel-Perungudi-Seevaram/044PXX44-XX44-180831235539-H7F1_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (perungudi); identity confirmed name+locality
Sri Srinivasa PG for Ladies,v2,independent,pg,unknown,"Kandanchavadi, Perungudi, Chennai 600096","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),third_party_platform_listing,Justdial / Sulekha,https://www.sulekha.com/sri-srinivasa-pg-for-ladies-perungudi-chennai-contact-address,UNKNOWN,v2_verified_identity,platform listing sweep (perungudi); identity confirmed name+locality
Om Sai Nivas Mens PG,v2,independent,pg,unknown,"Perungudi, Chennai 600096","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Om-Sai-Nivas-Mens-Pg-Perungudi/044PXX44-XX44-160811090702-T3V9_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (perungudi); identity confirmed name+locality
Ramya Men's PG (Hostel),v2,independent,pg,unknown,"Thirumalai Nagar Annexe, Perungudi (OMR), Chennai 600096","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),third_party_platform_listing,Justdial / Sulekha,https://www.sulekha.com/ramya-mens-pg-hostel-perungudi-chennai-contact-address,UNKNOWN,v2_verified_identity,platform listing sweep (perungudi); identity confirmed name+locality
SLV Ladies PG (Slv Ladies Paying Guest),v2,independent,pg,unknown,"Perungudi, Chennai 600096","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Slv-Ladies-Pg-Perungudi/044PXX44-XX44-250728200326-N4T6_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (perungudi); identity confirmed name+locality
A2J PG Accommodation,v2,independent,pg,unknown,"Perungudi, Chennai 600096","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/a2j-pg-accommodation-perungudi-chennai-contact-address,UNKNOWN,v2_verified_identity,platform listing sweep (perungudi); identity confirmed name+locality
PMD Gents Hostel,v2,independent,pg,unknown,"Perungudi, Chennai 600096","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/pg-for-mens/perungudi-chennai,SHARING_SPECIFIC,v2_verified_identity,platform listing sweep (perungudi); identity confirmed name+locality
Adhilakshmi Ladies Hostel,v2,independent,pg,unknown,"Lakshmana Nagar, Perungudi, Chennai 600096","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/pg-for-womens/perungudi-chennai,RANGE,v2_verified_identity,platform listing sweep (perungudi); identity confirmed name+locality
Sri Malarvizhi Mens Hostel,v2,independent,pg,unknown,"Seevaram, Perungudi, Chennai 600096","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/pg-for-mens/perungudi-chennai,UNKNOWN,v2_verified_identity,platform listing sweep (perungudi); identity confirmed name+locality
Pk Inn Gents & Ladies Pg Hostel,v2,independent,pg,unknown,Thoraipakkam,"Perungudi, Chennai",4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Pk-Inn-Gents-Ladies-Pg-Hostel-Thoraipakkam/044PXX44-XX44-180205205247-Y1H6_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Modern PG Men's Hostel (Behind Chennai One) / SS Modern PG Men's Hostel (OMR),v2,independent,pg,unknown,Thoraipakkam,"Perungudi, Chennai",4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),third_party_platform_listing,Justdial + Sulekha,https://www.justdial.com/Chennai/Modern-PG-Mens-Hostel-Behind-Chennai-One-Thoraipakkam/044PXX44-XX44-200108183647-C8J1_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Sri Sai Ram Ladies & Gents Hostel,v2,independent,pg,unknown,Thoraipakkam,"Perungudi, Chennai",4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Sri-Sai-Ram-Ladies-Gents-Hostel-Near-Thoraipakkam-Police-Station-Thoraipakkam/044PXX44-XX44-180508211701-J7J9_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
RK Mens PG Hostel,v2,independent,pg,unknown,Thoraipakkam,"Perungudi, Chennai",4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/RK-Mens-PG-Hostel-Thoraipakkam-chennai1-tolgate-near-by-Thoraipakkam/044PXX44-XX44-170505102511-L3J6_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Rudhra Men's PG Hostel,v2,independent,pg,unknown,Thoraipakkam,"Perungudi, Chennai",4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),third_party_platform_listing,Dorms.com,https://www.dorms.com/youth-Hostel/Rudhra-Mens-PG-Hostel-Thoraipakkam-OMR/BK14769059,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Pearlcastles Gents Hostel,v2,independent,pg,unknown,Thoraipakkam,"Perungudi, Chennai",4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),third_party_platform_listing,PGchoice,https://www.pgchoice.com/details/pearlcastles-gents-hostel-mens-pg-in-thoraipakkam-omr-700,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
My Home Ladies Hostel & PG (AC),v2,independent,pg,unknown,Thoraipakkam,"Perungudi, Chennai",4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/my-home-ladies-hostel-pg-thoraipakkam-chennai-contact-address,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Amman Ladies Hostel & Pg Accommodation,v2,independent,pg,unknown,Kottivakkam,"Perungudi, Chennai",2.05,coarse_suburb_centroid_kottivakkam(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Amman-Ladies-Hostel-Pg-Accommodation-Behind-HCL-Near-Kottivakkam-Fish-Market-Bus-Stop-Kottivakkam/044PXX44-XX44-160618082848-Y7K3_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Dharani PG Ladies Hostel,v2,independent,pg,unknown,Kottivakkam,"Perungudi, Chennai",2.05,coarse_suburb_centroid_kottivakkam(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/dharani-pg-ladies-hostel-kottivakkam-chennai-contact-address,SHARING_SPECIFIC,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Mahalakshmi Ladies Hostel,v2,independent,pg,unknown,Kottivakkam,"Perungudi, Chennai",2.05,coarse_suburb_centroid_kottivakkam(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/mahalakshmi-ladies-hostel-kottivakkam-chennai-contact-address,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Poomalai Ladies Hostel PG,v2,independent,pg,unknown,Kottivakkam,"Perungudi, Chennai",2.05,coarse_suburb_centroid_kottivakkam(Nominatim),third_party_platform_listing,HomeLikePG,https://homelikepg.com/chennai/kottivakkam/poomalai-ladies-hostel-pg/2c3b46e2ceaa,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Saibaba Ladies PG & Hostel (Sai Baba Women Hostel),v2,independent,pg,unknown,Kottivakkam,"Perungudi, Chennai",2.05,coarse_suburb_centroid_kottivakkam(Nominatim),third_party_platform_listing,Sulekha / WebSearch,https://www.sulekha.com/pg/kottivakkam-chennai,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Grace Home Ladies Hostel,v2,independent,pg,unknown,Kottivakkam,"Perungudi, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Sulekha,https://www.sulekha.com/womens-hostel/kottivakkam-chennai,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
YMCA Working Women's Hostel,v2,independent,pg,unknown,Kottivakkam,"Perungudi, Chennai",2.05,coarse_suburb_centroid_kottivakkam(Nominatim),third_party_platform_listing,Sulekha / WebSearch,https://www.sulekha.com/pg/kottivakkam-chennai,UNKNOWN,v2_verified_identity,platform listing sweep (omr); identity confirmed name+locality
Oasis PG For Men,v2,independent,pg,unknown,"Potheri / SRM Nagar, Kattankulathur","Kattankulathur, Chennai",,coarse_srm_cluster_median(existing geocoded SRM competitors),third_party_platform_listing,JustDial; gopgo.in,https://www.justdial.com/Chengalpattu/Oasis-PG-For-Men-Near-Srm-University-Potheri/9999PXX44-XX44-181212122515-D9G9_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (kattankulathur); identity confirmed name+locality
A S R PG (ASR PG),v2,independent,pg,unknown,"SRM Nagar / Potheri, Kattankulathur","Kattankulathur, Chennai",,coarse_srm_cluster_median(existing geocoded SRM competitors),third_party_platform_listing,JustDial,https://www.justdial.com/Chengalpattu/A-S-R-Pg-Behind-SRM-University-Near-TRS-Potheri-Thailavaram-Kattankulathur-Srm-Nagar/9999PXX44-XX44-231216124355-E9F5_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (kattankulathur); identity confirmed name+locality
Srinivasa Gents Accommodation (Srinivasa Paying Guest),v2,independent,pg,unknown,"Samundeswari Nagar, Potheri, Kattankulathur","Kattankulathur, Chennai",,coarse_srm_cluster_median(existing geocoded SRM competitors),third_party_platform_listing,JustDial; NoBroker,https://www.justdial.com/Chengalpattu/Srinivasa-Gents-Accommodation-Near-Disco-Chettinadu-RestarentNear-SRM-Potheri/9999PXX44-XX44-151019120550-Q2P7_BZDET,FLAT_DISPLAYED,v2_verified_identity,platform listing sweep (kattankulathur); identity confirmed name+locality
Zolo Logos,v2,operator:Zolo,co_living,unisex,"Adyar, Chennai","Adyar, Chennai",2.09,coarse_suburb_centroid_adyar(Nominatim),operator:Zolo (third-party operator site),Zolo,https://zolostays.com/pg-hostel-near-adyar-in-chennai-zolo_logos-zolgs,SHARING_SPECIFIC,v2_verified_identity,"zolostays.com per-locality page, browser-rendered 2026-08; gender unisex; food vendors nearby (not Zolo-provided)"
Zolo Playa,v2,operator:Zolo,co_living,men,"Kottivakkam, Chennai","Perungudi, Chennai",2.05,coarse_suburb_centroid_kottivakkam(Nominatim),operator:Zolo (third-party operator site),Zolo,https://zolostays.com/pg-hostel-near-kottivakkam-in-chennai-zolo_playa-zch026,SHARING_SPECIFIC,v2_verified_identity,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; Food is not available in Zolo Playa (order/dine-i"
Zolo Playa B,v2,operator:Zolo,co_living,men,"Kottivakkam, Chennai","Perungudi, Chennai",2.05,coarse_suburb_centroid_kottivakkam(Nominatim),operator:Zolo (third-party operator site),Zolo,https://zolostays.com/pg-hostel-near-kottivakkam-in-chennai-zolo_playa_b-zlpb,STARTING_FROM,v2_verified_identity,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Vibe,v2,operator:Zolo,co_living,men,"Perungudi, Chennai","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),operator:Zolo (third-party operator site),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,STARTING_FROM,v2_verified_identity,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Aura,v2,operator:Zolo,co_living,men,"Perungudi, Chennai","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),operator:Zolo (third-party operator site),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,STARTING_FROM,v2_verified_identity,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Thrones,v2,operator:Zolo,co_living,men,"Perungudi, Chennai","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),operator:Zolo (third-party operator site),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,STARTING_FROM,v2_verified_identity,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Abode,v2,operator:Zolo,co_living,unisex,"Perungudi, Chennai","Perungudi, Chennai",2.37,coarse_suburb_centroid_perungudi(Nominatim),operator:Zolo (third-party operator site),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,STARTING_FROM,v2_verified_identity,"zolostays.com per-locality page, browser-rendered 2026-08; gender unisex; "
Zolo Bohemia,v2,operator:Zolo,co_living,men,"Thoraipakkam, Chennai","Perungudi, Chennai",4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),operator:Zolo (third-party operator site),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,STARTING_FROM,v2_verified_identity,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Sereno,v2,operator:Zolo,co_living,unisex,"Thoraipakkam, Chennai","Perungudi, Chennai",4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),operator:Zolo (third-party operator site),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,STARTING_FROM,v2_verified_identity,"zolostays.com per-locality page, browser-rendered 2026-08; gender unisex; "
