property_name,universe_version,operator_source_type,property_type,gender,locality,locality_group,distance_km,distance_precision,source_evidence_type,source_platform,source_url,price_status,verification_status,provenance
STAY GREEN PG,v1,independent,pg_unknown_gender,unknown,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Sasikala Paying Guest,v1,independent,pg_unknown_gender,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,unknown,,,unknown,identity_unconfirmed_no_first_party,phase3_market_spec baseline (v1)
Season 4 Rentals,v1,independent,serviced_apartment,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",0.57,geocoded_gmaps,first_party_or_verified,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,v1,independent,hotel,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_real_no_independent_first_party,phase3_market_spec baseline (v1)
Sree Siddhi Vinayaka Mens PG,v1,independent,mens_pg,men,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,verified_real_no_first_party,phase3_market_spec baseline (v1)
Sree sai pg,v1,independent,pg_unknown_gender,unknown,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Sri Mahalakshmi PG Accommodation,v1,independent,pg_unknown_gender,unknown,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
Sri Sai Balaji Ladies PG,v1,independent,womens_pg,women,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Star Men's Pg Accommodation,v1,independent,mens_pg,men,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Stay Easy Tiruvanmiyur Chennai | Hotels Near Apollo Proton,v1,independent,hotel,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_real_no_independent_first_party,phase3_market_spec baseline (v1)
Stay N Tour Home | Best Rooms In Adyar,v1,independent,serviced_apartment,unknown,Adyar,"Adyar, Chennai",2.09,suburb_centroid_adyar,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Staylite Suites Thiruvanmiyur Chennai | Hotels in OMR,v1,independent,hotel,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_real_no_independent_first_party,phase3_market_spec baseline (v1)
Subodhaya Paying Guest Accommodation (for Ladies),v1,independent,womens_pg,women,Thiruvanmiyur,"Thiruvanmiyur, Chennai",0.15,geocoded_gmaps,unknown,,,unknown,verified_real_no_first_party,phase3_market_spec baseline (v1)
"Swarna Sudarshan Serviced Apartments, Adyar, Chennai | Hotel rooms in Adyar",v1,independent,hotel,men,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_real_no_independent_first_party,phase3_market_spec baseline (v1)
TSP PG ACCOMADTION,v1,independent,pg_unknown_gender,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.26,geocoded_gmaps,first_party_or_verified,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
The Adyar House Boutique Homestays,v1,independent,serviced_apartment,unknown,Adyar,"Adyar, Chennai",2.09,suburb_centroid_adyar,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
The K11 Golden Gate - Chennai,v1,independent,unknown,unknown,Adyar,"Adyar, Chennai",2.09,suburb_centroid_adyar,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Truliv Sofia - Co-living space & PG in Siruseri,v1,operator:Truliv,co_living,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
VIJAY PAYING GUEST LUXURY HOSTEL,v1,independent,pg_unknown_gender,unknown,Adyar,"Adyar, Chennai",2.09,suburb_centroid_adyar,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
WowLife Coliving PFLG (Perungudi),v1,operator:WowLife,co_living,unknown,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Yali Service Apartment,v1,independent,serviced_apartment,men,Thiruvanmiyur,"Thiruvanmiyur, Chennai",2.72,geocoded_gmaps,first_party_or_verified,,,unknown,verified_real_no_independent_first_party,phase3_market_spec baseline (v1)
Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,v1,operator:Yube1,co_living,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
Yube1 Continental League - PG in Perungudi | Coliving PG,v1,operator:Yube1,co_living,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
Yube1 Emerald League - PG in Perungudi | Coliving PG,v1,operator:Yube1,co_living,unknown,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,v1,operator:Yube1,co_living,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
kalyani homestay,v1,independent,serviced_apartment,unknown,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
11L - K427 Apartments,v1,independent,residential_apartment,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,unknown,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Amman Men's PG Hostel,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Aostel - Men's PG/ Hostel in Anna Salai,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,verified_real_no_first_party,phase3_market_spec baseline (v1)
Bag2Bag Service Apartments,v1,operator:Bag2Bag,serviced_apartment,unknown,"Thiruvanmiyur, Chennai","Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Best Men's PG,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,unknown,,,unknown,identity_unconfirmed_generic_name,phase3_market_spec baseline (v1)
Bress Flat,v1,independent,residential_apartment,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,unknown,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Eden Coliving Space,v1,independent,co_living,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,verified_real_no_first_party,phase3_market_spec baseline (v1)
Emy PG Accommodation (Men),v1,independent,pg_unknown_gender,men,"Thiruvanmiyur (14 units), Adyar (3), Besant Nagar (1), Semmancheri (1)","Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
Hotel O Guduvancheri Railway Station,v1,independent,hotel,unknown,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
K S MENS P G HOSTAL,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
KPA MEN'S PG & HOSTEL,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
