tenant_id,allotment_id,status_norm,collectable_ar,net_dues,deposit_held,days_since_payment,recency_source,bucket_90_plus,aging_severity,priority_score,reason,recommended_action,settlement_note
c2f58086-b0e6-4083-b634-acc444ebc69f,e02f5ad1-ec73-468d-8cb6-27d54cb62b81,staying,3640.0,3640.0,1500.0,9.0,payment,0.0,0.0,3822.0,"AR ₹3,640; 9d since pay",Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
9eb73523-a830-4796-9317-1a3f4e9e7254,af77c84c-c34c-43ff-a61d-62b390f12d3f,staying,3640.0,3640.0,1500.0,8.0,payment,0.0,0.0,3802.0,"AR ₹3,640; 8d since pay",Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
23f7ef5f-6b26-a104-b616-b438d7e9243c,8cada743-d341-4211-b2f2-094d551e9ef3,on-notice,2144.0,2144.0,19500.0,39.0,payment,-11373.0,0.0,2609.0,"AR ₹2,144; 39d since pay",Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
8e39a9bd-3317-b2a6-22a6-16fa4cab9632,14f9659a-5710-47bd-945d-74b61d0ed70a,on-notice,2250.0,2250.0,28500.0,7.0,payment,0.0,0.0,2338.0,"AR ₹2,250; 7d since pay",Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
8971261e-a813-477f-94c0-0a9661dc4c34,4f2cdcfa-282c-461d-84f8-aefe0567d4f0,on-notice,2127.0,2127.0,23250.0,8.0,payment,0.0,0.0,2222.0,"AR ₹2,127; 8d since pay",Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
87a1e515-e2e0-110f-05d1-04f5a83c066a,a089c1bf-e6c1-4700-b4bd-52304e5c006f,staying,1984.0,1984.0,23250.0,6.0,payment,0.0,0.0,2050.0,"AR ₹1,984; 6d since pay",Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
2d700a6b-44c4-438b-841f-febe1b2c47a7,32d53862-5d4f-46ee-a5d3-3372c75389c1,staying,609.0,609.0,1500.0,7.0,payment,0.0,609.0,1264.0,AR ₹609; 7d since pay,Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
1b1e4294-4ed3-42e4-b820-7c443e8ddfcf,d92acb4f-8c3f-48ac-8e6b-e7e693fef3d9,staying,1000.0,1000.0,23250.0,7.0,payment,0.0,0.0,1039.0,"AR ₹1,000; 7d since pay",Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
d5ef5788-b130-4329-b2e7-5e0112badb3b,537d7700-2397-448d-a0b5-3579e13e2964,staying,468.0,468.0,21750.0,8.0,payment,0.0,0.0,489.0,AR ₹468; 8d since pay,Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
9fd15f79-3f68-411c-a282-24af6ade0fdb,4fbf07dd-60c4-4e20-a04f-3714c378ffec,staying,265.0,265.0,23250.0,8.0,payment,0.0,0.0,277.0,AR ₹265; 8d since pay,Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
61031b0a-ef18-26aa-64b7-d412d7b3d276,99eb3f32-d53e-4470-ab2a-09ed6e9b3872,staying,130.0,130.0,21750.0,7.0,payment,0.0,130.0,269.0,AR ₹130; 7d since pay,Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
79e31f6f-69dc-a40c-27d7-3f076878f83c,a0cd9c66-c067-4001-ad7b-586b6c15537e,staying,200.0,200.0,20250.0,12.0,payment,0.0,0.0,213.0,AR ₹200; 12d since pay,Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
5ce46f7c-d9f9-426d-be11-5e3b6a2bedb0,1d8b2085-b87b-4a65-a8c6-ee6b287ba381,staying,130.0,130.0,0.0,6.0,payment,0.0,0.0,134.0,AR ₹130; 6d since pay,Follow-up call,invoice<->receipt settlement UNRECONCILED (receipt_allocations missing)
